id,VAR00001,sourceVM,age,agegroup,gender,momed,TOTALWORDS,TOTCOMPLEX,agegroup2,agegroup3,filter_$,VAR00018,id_merged,age_m,agegroup_m,gender_m,momed_m,TOTALWORDS_m,TOTCOMPLEX_m,agegroup2_m,agegroup3_m,Pronunc,Concep1,Concept2,Concept3,conceptsum,dinosaurio,grúa,herramienta,librero,licuadora,nido,tornillo,vidrio,dentista,mecánico,pintor,barba,cachete,manga,pulgar,pulmón,uña,calentura,estornudar,lastimar,quemadoa,sano,tragar,ciudad,cueva,hospital,torre,taller,cuadrado,domingo,repetir,salón,hierba,machete,paja,pétalos,plaga,raíz,tormenta,adivinar,aguantar,amanecer,atravesar,desaparecer,disparar,escavar,flotar,juntar,medir,mezclar,perder,perseguir,podar,rebanar,regar,regresar,repartir,salvar,separar,tallar,vender,apestoso_a,chistoso_a,emocionado_a,envidioso_a,feroz,flojo_a,hermoso_a,listo_a,maravilloso_a,nervioso_a,peligroso_a,raro_a,responsable,valiente,veloz,accidente,aventura,magia,verdad,vergüenza,además,aquel_aquella,bastante,cada,demasiado_a,igual,lado,mismo_a,nunca,pronto,siempre,tanto,temprano,contra,desde,hasta,sobre,nuestro,suyos_as,total,Pronunc11,Concept11,Concept21,Concept31,Uso11,Uso21,Uso31,Orac2,Orac3,orac4,orac5,orac8,orac9,orac10,orac12,orac15,orac19,orac25,orac26,orac27,orac28,orac29,complex_15,complex15_check
371, , ,50,7,1,1,41,8,7, ,0,371, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
372, , ,49,7,1,2,47,18,7, ,0,372, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
373, , ,49,7,1,1,54,3,7, ,0,373, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
374, , ,49,7,2,4,53,5,7, ,0,374, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
375, , ,50,7,2,4,61,16,7, ,0,375, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
376, , ,37,3,2,4,75,16,3,3,1,376, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
740,740,2,39,4,1,2,63,9,4,4,1,740,740,39,4,1,2,63,9,4,4,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,63,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,3
180,180,1,32,2,2,3,33, ,1,1,1,180,180,32,2,2,3,33, ,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,33,0,0,0,0,0,0,1, , , , , , , , , , , , , , , , ,
192,192,1,30,1,1,4,15, ,1,1,1,192,192,30,1,1,4,15, ,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,
333,333,1,45,6,2,1,50, ,6,6,1,333,333,45,6,2,1,50, ,6,6,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,50,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , ,
